idSolicitudes;FechaEntradaOCM;idSolicitantes;idEstados;idInstituciones;idDocumentos;idDistrito;idDelegacion;Distritos_idDistritos;AprobadaOCM;FechaAprobacionOCM;FechaPresentacion;FechaInicioExpediente;TextoCabecera;Descripción;SolicitudPrevia;Observaciones;Instituciones_idInstituciones;Solicitantes_idSolicitantes;Estados_idEstados;FechaContestacion;Imagen;SeguimientoSolicitante;idPrograma;idEconomico;GradoRespuesta;Delegaciones_idDelegaciones;Estados_idEstados1;createdAt;updatedAt;idUserCreate;idUserUpdate
58;;0;0;0;0;0;0;1;;;;;;Contrato mantenimiento red semafórica;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
59;;0;0;0;0;0;0;1;;;;;;Informes Mejora de recogida de pluviales Urbanización Los Estribos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
60;;0;0;0;0;0;0;1;;;;;;Expediente de contratación campaña de difusión Jerez verano abierto ;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
61;;0;0;0;0;0;0;1;;;;;;Proyecto básico Museo del Flamenco;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
62;;0;0;0;0;0;0;1;;;;;;Memoria PEACA 2018;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
63;;0;0;0;0;0;0;1;;;;;;Gastos fuente Alvar Núñez  Cabeza de Vaca;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
64;;0;0;0;0;0;0;1;;;;;;Información licitación servicio integral de gestión de residuos;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
65;;0;0;0;0;0;0;1;;;;;;Informaciones fuente el Mamelon;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
66;;0;0;0;0;0;0;1;;;;;;Campaña Jerez no te lo pierdas;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
67;;0;0;0;0;0;0;1;;;;;;Informe estado parques infantiles;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
68;;0;0;0;0;0;0;1;;;;;;Propuesta de rehabilitación barriada La Asunción;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
69;;0;0;0;0;0;0;1;;;;;;Actas reuniones Consejo Local del Medioambiente;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
70;;0;0;0;0;0;0;1;;;;;;Personas seleccionadas servicios sociales;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
71;;0;0;0;0;0;0;1;;;;;;Resoluciones judiciales;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
72;;0;0;0;0;0;0;1;;;;;;Proyecto entorno iglesia San Juan;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
73;;0;0;0;0;0;0;1;;;;;;Proyecto nave del aceite;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
74;;0;0;0;0;0;0;1;;;;;;Plan de mejora, conservación de ciudad consolidada;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
75;;0;0;0;0;0;0;1;;;;;;Proyecto Cooperación Local;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
76;;0;0;0;0;0;0;1;;;;;;Convenio instalaciones ecuestres;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
77;;0;0;0;0;0;0;1;;;;;;Aparcamientos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
78;;0;0;0;0;0;0;1;;;;;;Proyecto tabanco del Duque;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
79;;0;0;0;0;0;0;1;;;;;;Proyecto reurbanizacion Plaza Vargas;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
80;;0;0;0;0;0;0;1;;;;;;Proyecto rehabilitación Callejón de los Bolos;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
81;;0;0;0;0;0;0;1;;;;;;Convenio museo del flamenco;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
